id	command	search_clause	search_clause_cont	not_clause	replace_clause	case_sensitive	must_update	Latin_name	common_name	local_name	alt_names	note_clause	crops	doit	comments	exp_cnt	chk	dummy
1105		row cnt																
0		blank id cnt																
1	sp_update	"Grasses (echinochloa spp.,Leptochloa chinensis,Ischaemum rogusum sedges (c. iria,C. difformis ); broadleaves (l. octavalvis,S."			"Grass,Barnyard grass,Red sprangletop,Saramolla grass,Sedge,Rice flatsedge,Variable flatsedge,Broadleaf Weed,Primrose willow"	0												
2	sp_update	C.iria			Rice flatsedge	0		Cyperus iria	Rice flatsedge	"Sud-sud,Alinang"								
3	sp_update	C. iria)			Rice flatsedge	0												
4	sp_update	C. iria			Rice flatsedge	0												
5	sp_update	C. difformis			Variable flatsedge	0		Cyperus difformis	Rice sedge		"Variable flatsedge,Smallflower umbrella-sedge"							
6	sp_update	C.difformis			Variable flatsedge	0												
7	sp_update	D. aegyptium			Crowfoot grass	0		Dactyloctenium aegyptium	Egyptian crowfoot grass									
8	sp_update	D. ciliaris			Crabgrass	0		Digitaria ciliaris	Southern crabgrass		"Tropical finger-grass,Tropical crabgrass,Summer gras"							
9	sp_update	e. colona			Wild rice	0		Echinochloa colona			"Jungli rice,Wild rice,Deccan grass,Jharua,Awnless barnyard grass"							
10	sp_update	e.colona			Wild rice	0		Echinochloa colona										
11	sp_update	E. crus-galli			Barnyard grass	0		Echinochloa crus-galli			Echinochloa glabrescens							
12	sp_update	E. crusgalli			Barnyard grass	0		Echinochloa crus-galli			Echinochloa glabrescens							
13	sp_update	E.globrescens			Barnyard grass	0		Echinochloa glabrescens			E. crus-galli							
14	sp_update	F. miliacea			{Hoorahgrass}	0		{Fimbristylis miliacea}										
15	sp_update	F.miliacea			{Hoorahgrass}	0		{Fimbristylis miliacea}										
16	sp_update	F.mliacea			{Hoorahgrass}	0		{Fimbristylis miliacea}										
17	sp_update	Ischaemum rugosum			Saramolla grass	0		Ischaemum rugosum	Saramolla grass									
18	sp_update	L. chinensis			Red sprangletop	0		Leptochola chinensis										
19	sp_update	L.chinesis			Red sprangletop	0		Leptochola chinensis										
20	sp_update	L. octavalvis			Primrose willow	0		Ludwigia octovalvis 										
21	sp_update	Tropic ageratum			Tropical whiteweed	0		Ageratum conyzoides	Tropical whiteweed		"Billygoat weed,Bluebonnet,Bluetop"							
22	sp_update	S. zeylanica			Gooseweed	0		Sphenoclea zeylanica	Gooseweed		"Chickenspike,Wedgewort,Tropic ageratum"							
23	sp_update	(common grassy fields) for the control of weeds			Weeds	0												
24	sp_update	(Palay-maya)			{}	0												
25	sp_update	*corn weevils			Corn weevil	0										1		
26	sp_update	{perrenial}			{Perennial}	0												
27	sp_update	",and "			"{,}"	0									Check it out in sql			
28	sp_update	" (stem,Mat spray application of mealy bugs)"			Mealy bugs	0												
29	sp_update	"{,Aphids through stem,Mat spray}"			",Aphids"	0												
30	sp_update	"{,Aphids through stem}"			",Aphids"	0												
31	sp_update	",Beetle"		",Beetles"	",Beetles"	0												
32	sp_update	",Cescospora,"			",Cercospora leaf spot,"	0												
33	sp_update	",freckles"			"{,Banana freckle disease}"	0											 	
34	sp_update	",Fruit,Borer"			",Fruit borer"	0												
35	sp_update	",Paddy,"			",Paddy rice,"	0												
36	sp_update	",rust"			",Rust"	0												
37	sp_update	",worm"			",Worm"	0												
38	sp_update	. Cutworm			",Cutworm"	0												
39	sp_update	28 spotted beetle			28 Spotted beetle	0												
40	sp_update	28 spotted beetles			28 Spotted beetle	0												
41	sp_update	28- spotted bettles			28 Spotted beetle	0												
42	sp_update	28-spotted Beetle			28 Spotted beetle	0												
43	sp_update	aanual grasses			Annual grass	0												
44	sp_update	Adult flies			Fly	0												
45	sp_update	alternaria		alternaria l	Alternaria	0												
46	sp_update	Alternaria Leaf blight			Alternaria leaf blight	0												
47	sp_update	Alternaria Leafspot			Alternaria leaf spot	0												
48	sp_update	"Alternaria,Cercospora leaf spot"			"Alternaria leaf spot,Cercospora leaf spot"	0												
49	sp_update	Alternaria cercospora		cercospora leaf	"Alternaria leaf spot,Cercospora leaf spot"	0												
50	sp_update	"Alternaria,"			"Alternaria leaf spot,"	0												
51	sp_update	"Alternative,"			{}	0												
52	sp_update	alternia			Alternaria	0												
53	sp_update	"Annual,Perennial broadleaf of weeds"			Broadleaf Weed	0												
54	sp_update	"Annual grasses,Perennial grasses"			{Grass}	0												
55	sp_update	"{Annual,Perennial,Grass}"		grasses	{Grass}	0												
56	sp_update	"Annual,Perennial broadleaves"			Broadleaf Weed	0												
57	sp_update	"Annual,Perennial grasses"			{Grass}	0												
58	sp_update	"{Annual grasses,Broadleaf weeds,Sedges}"			"Annual grass,Annual Broadleaf Weed,Annual sedge"	0												
59	sp_update	"Annual,Perennial weeds"			Weeds	0												
60	sp_update	{Annual grasses sedges broad-leaf weeds}			"{Annual grass,Annual sedge broad-leaf weeds}"	0												
61	sp_update	{Annual broadleaves}			{Annual Broadleaf Weed}	0												
62	sp_update	{Annual brodleaves}			{Annual Broadleaf Weed}	0												
63	sp_update	{Annual grasses sedges broad-leaf weeds}			"{Annual grass,Annual sedge,Annual Broadleaf Weed}"	0												
64	sp_update	{Annual Perennial grasses}			Grass	0												
65	sp_update	anthracnose			Anthracnose	1												
66	sp_update	Anthracnose (Colletotrichum gloeosporioides			Anthracnose	0		Colletotrichum gloeosporioides										
67	sp_update	Anthracnose (foliar application)			Anthracnose	0												
68	sp_update	Anthracnose Scab			"Anthracnose,Scab"	0												
69	sp_update	Anthracnose/twister Bulb rot			Anthracnose	0												
70	sp_update	Antracnose			Anthracnose	0												
71	sp_update	aphipds			Aphids	0												
72	sp_update	Army worm			Armyworm	0												
73	sp_update	armywor		armyworm	Armyworm	0												
74	sp_update	armyworm			Armyworm	0												
75	sp_update	Armyworm ( as pheromone lure)			Armyworm	0												
76	sp_update	Armyworm (pheromone lure)			Armyworm	0												
77	sp_update	armyworm rice bug			"Armyworm,Rice bug"	0												
78	sp_update	"Armyworm,Armyworm"			Armyworm	0												
79	sp_update	Armyworms			Armyworm	0												
80	sp_update	As a surfactant on lampas			{}	0												
81	sp_update	"As tool disinfectant,Foot bath or wheel bath for the control of moko disease/bacterial wilt (ralstonia solanacearum ),Fusarium wilt (fusarium oxysporum f. sp cubense)"			"{Moko disease,Fusarium wilt }"	0												
82	sp_update	"As foot bath,tire dip,tool and machinery disinfectant for the control of Moko disease and Fusarium wilt"			"Moko disease,Fusarium wilt"	0												
83	sp_update	"As tool desinfectant for the control of fusarium wilt,Bacterial wilt"			"{Moko disease,Fusarium wilt }"	0												
84	sp_update	"As plant growth regulation for the flower induction,Ripening"				0												
85	sp_update	As surfactant on guarantee 10% sc (ai: bispyribac sodium)				0												
86	sp_update	As surfactant on oryza 10 sc (ai: bispyribac sodium)			Stored product pests	0												
87	sp_update	As fumigant for the control of stored product pest				0												
88	sp_update	As surfactant on vero 10 sc(ai: bispyribac sodium)				0												
89	sp_update	As adjuvant for the control of black sigatoka			{Sigatoka}	0												
90	sp_update	As a surface active agent (emulsifier)				0												
91	sp_update	As a surfactant for vigilante 100 sc				0												
92	sp_update	As surface active agent (emulsifier)				0												
93	sp_update	As surfactant for rice max 100 sc				0									import to here then chk it out in sql			
94	sp_update	As surfactant for aspire sc twin				0												
95	sp_update	As surfactant on priority 100 sc				0												
96	sp_update	As surfactant on priority sc 100				0												
97	sp_update	As surfactant for combee 100 sc				0												
98	sp_update	As surfactant of drumlin 100 sc				0												
99	sp_update	As spreader-sticker surfactant				0												
100	sp_update	As surfactant on exacto sc 100				0												
101	sp_update	As surfactant on segador 10 sc				0												
102	sp_update	As surfactant on dozer 10 sc				0												
103	sp_update	As a surfactant on quadro8				0												
104	sp_update	{asian corn borer }			{Asian corn borer}	0												
105	sp_update	Asian corn borer(ostrinia furnacalis guenee )			{Asian corn borer}	0		ostrinia furnacalis guenee										
106	sp_update	Asiatic corn borer			{Asian corn borer}	0												
107	sp_update	Aspaaragus worms			Asparagus worm	0												
108	sp_update	Asparagus worms			Asparagus worm	0												
109	sp_update	athracnose			Athracnose	0												
110	sp_update	Athracnose			Anthracnose	0												
111	sp_update	Bacteria(Pseudomanas spp.)			Bacteria	0		Pseudomanas spp.										
112	sp_update	{Bacteriaand }			"Bacteria,"	0												
113	sp_update	bacterial fruit rot			Bacterial fruit rot	0												
114	sp_update	Bacterial Fruit rot			Bacterial fruit rot	0												
115	sp_update	{Bacterial heart rot caused by erwina chrysanthemi}			{Bacterial heart rot}	0		erwina chrysanthemi										
116	sp_update	bacterial leaf blight			Bacterial leaf blight	0												
117	sp_update	Bacterial Leaf blight			Bacterial leaf blight	0												
118	sp_update	bacterial rot			Bacterial rot	0												
119	sp_update	bacterial specks			Bacterial specks	0												
120	sp_update	bacterial spots			Bacterial spot	0												
121	sp_update	bacterial wilt			Bacterial wilt	0												
122	sp_update	Banana freckle disease in banana			Banana freckle disease	0												
123	sp_update	Banana ripening			{}	0												
124	sp_update	Banana Thrips			Thrips	0												
125	sp_update	"Banded leaf,Sheath blight"			Banded leaf and sheath blight	0												
126	sp_update	bark borer			Bark borer	0												
127	sp_update	basal rot			Basal rot	0												
128	sp_update	Basal/ Bulb rot			"Basal rot,Bulb rot"	0												
129	sp_update	Basal/Bulb rot			"Basal rot,Bulb rot"	0												
130	sp_update	Baterial Crown rot			Baterial cown rot	0												
131	sp_update	bath				0												
132	sp_update	Bean fly%grubs			"Bean fly,White grub"	0		Holotrichia consanguínea	white grub		True white grub							
133	sp_update	bean lycaenid			Bean lycaenid	0												
134	sp_update	Bean Podborer			Bean pod borer	0												
135	sp_update	"Bean,Podborer"			Bean pod borer	0												
136	sp_update	Beanflies			Bean fly	0												
137	sp_update	Beanfly			Bean fly	0												
138	sp_update	Beet armyworm			Beet armyworm	0												
139	sp_update	beetle			Beetles	0												
