id	command	search_clause	 not_clause	replace_clause	case sensitive	Latin_name	common_name	local_name	alt_names	note_clause	crops	doit	must_update	comments	exp_cnt	chk	dummy							
53		row cnt		33	0						0	51	51	Version: 27/07/2023 16:43:41		Version: 28/07/2023 08:08:40	Version: 01/08/2023 14:43:05							
0		blank id cnt			51							51	49											
2000	sp_update	Anatrachyntis larvae		Anatrachyntis larvae						 Valid only for use by Del Monte			1											
2001	sp_update	 for flowering								 for flowering			1											
2002	sp_update	",Alternaria leaf spot"																						
2003	sp_update	",Foot  or wheel  for the control ofmoko disease/bacterial wilt (ralstonia solanacearum ),Fusarium wilt"		"moko disease, bacterial wilt "																				
2004	sp_update	",Moko disease,Fusarium wilt"																						
2005	sp_update	"A,gangetica"		Asystasia gangetica			Chinese violet		"Coromandel, Creeping foxglove"															
2006	sp_update	Adult files		Adult flies																				
2007	sp_update	MPowdery mildew		Powdery mildew																				
2008	sp_update	Late blights		Late blight																				
2009	sp_update	As a single adjuvant or in combination with the diazinon 60 ec								As a single adjuvant or in combination with the diazinon 60 ec														
2010	sp_update	As a surfactant on vagary 100 sc								As a surfactant on vagary 100 sc														
2011	sp_update	"As disinfectaant for dairy,Livestock hygience to control animal diseases"								"As disinfectaant for dairy,Livestock hygience to control animal diseases"														
2012	sp_update	"As disinfectant for the control of crown rot,Crown rot"		Crown rot						"As disinfectant for the control of crown rot,Crown rot"														
2013	sp_update	As surfactant for bisig 100 sc								As surfactant for bisig 100 sc														
2014	sp_update	As surfactant in dominate 100 sc								As surfactant in dominate 100 sc														
2015	sp_update	As surfactant on demolish 100 sc								As surfactant on demolish 100 sc														
2016	sp_update	(through drone spraying)								Through drone spraying														
2017	sp_update	",Rusts,"		",Rust,"																				
2018	sp_update	Bean fly nematodes		"Bean fly,Nematodes"																				
2019	sp_update	Black sigatoka (as adjuvant)		Black sigatoka						as adjuvant														
2020	sp_update	Black sigatoka (as an emulsifier in combination with an fpa registered fungicide)		Black sigatoka						as an emulsifier in combination with an fpa registered fungicide														
2021	sp_update	"Black sigatoka,Banana freckle disease as spray oil adjuvant"		"Black sigatoka,Banana freckle disease"						 as spray oil adjuvant														
2022	sp_update	"Black sigatoka,Banana freckle disease; scale insect,Mealy bugs"		"Black sigatoka,Banana freckle disease,Scale insect,Mealy bugs"																				
2023	sp_update	"Black sigatoka,Black sigatoka"		Black sigatoka																				
