hostcode,hostdesc
1F     ,FUNGICIDE ADDITIVE
A10    ,ANIMAL - EXOTIC
A4     ,LIVESTOCK ANIMALS
A7     ,LABORATORY ANIMAL
ABDGR  ,RACING PIGEON
ABG    ,GEESE
ABGF   ,GUINEA FOWL
ABPI   ,PIGEON-BREEDER
ABPX   ,POULTRY - SEE LABEL
AC1    ,CATTLE - UNDER 12 MONTHS OF AGE
ACD    ,DAIRY CATTLE
ACD1   ,DAIRY CATTLE AT DRYING OFF
ACHP   ,HEIFER (BEFORE CALVING)
ACLW   ,CATTLE - 50 TO 150KG LIVEWEIGHT
AD41   ,DOG - 4-10KG
AD6M   ,DOG - OVER 6 MONTHS OLD
ADGA   ,DOG - ACTIVE
ADO8   ,DOG - OVER 8 WEEKS
ADP6   ,PUPPY - OVER 6 WEEKS
AE     ,DEER
AF6    ,CAT - OVER 6 MONTHS OLD
AFB    ,CAT - BREEDING
AFFN   ,CAT - NOT PREGNANT
AFX    ,CAT - WITH EXCLUSIONS SEE LABEL
AHA1   ,HORSE OVER 15 YEARS OLD
AHFO   ,HORSE FOAL
AHG    ,HORSE GELDING (CASTRATED MALE)
AIAS   ,FISH AQUARIUM SALTWATER
APB    ,PIG BOAR (MALE)
APBR   ,PIG BREEDER
APKG10 ,PIG 
APP    ,PIG - PIGLET
APP2   ,PIGLET - WEANING-15KG
APSL   ,PIG SOW LACTATING
APW    ,PIG WEANER
AQS    ,SNAKES
ARMP   ,MOUSE PET
ASR    ,SHEEP RAM (MALE)
ASRW   ,SHEEP WETHER (CASTRATED MALE)
ASS7   ,SHEEP - WITHIN 7 DAYS OF SHEARING
CPTIM  ,CUT/MACHINED PRESERVATIVE TREATED TIMBER
DIRTIM ,TIMBER - DIRECT CONTACT
DUCTE  ,DUCKING
ECN    ,NURSERY EQUIPMENT
FBNB   ,NON-BEARING BERRYFRUITS
FC2PE  ,GRAIN CROP - POST EMERGENCE
FCFMC  ,FORAGE CROP (CONTAINING MEDIC)
FCG    ,CEREAL CROP
FCGA1  ,BARLEY U'SOWN (LUCERNE)
FCGA9  ,BARLEY - FALLOW & SEEDBED
FCGADS ,BARLEY - DIRECT SEEDING
FCGALE ,BARLEY - SEE LABEL FOR EXCEPTIONS
FCGAPP ,BARLEY PRE&POST SOWING SELF MULCHING SOI
FCGBNW ,MAIZE - NOT WAXY MAIZE
FCGCPE ,CEREAL - PRE-EMERGENT
FCGD7  ,OATS U'SOWN WITH SUBTERRANEAN CLOVER
FCGDE  ,OATS - UP TO EARLY FLAG LEAF (Z37) ONLY
FCGDL  ,OATS - UNDERSOWN WITH LOTUS SEED OR FORA
FCGDPC ,OATS - POST CROP & WEED EMERGENCE
FCGE4  ,COMBINE SOWN RICE - POST-PLANT AND FLUSH
FCGE6  ,RICE - PERMANANT WATER
FCGFE  ,CEREAL RYE - UP TO EARLY FLAG LEAF ONLY
FCGFPE ,CEREAL RYE - POST EMERGENCE
FCGH11 ,WHEAT - WITH CLEARFIELD TECHNOLOGY ONLY
FCGHF  ,WHEAT - UNDERSOWN WITH MEDIC
