"pcode","regno","regdate"
"51918","0700","25/07/2000 12:00:00 AM"
"50696","0208","26/05/2008 12:00:00 AM"
"50696","0403","6/05/2003 12:00:00 AM"
"50696","0498","25/05/1998 12:00:00 AM"
"50696","0908","8/10/2008 12:00:00 AM"
"50696","54592","29/11/2011 12:00:00 AM"
"50728","1200","11/12/2000 12:00:00 AM"
"50745","0598","13/05/1998 12:00:00 AM"
"54240","0107","26/03/2007 12:00:00 AM"
"54240","0206","1/03/2006 12:00:00 AM"
"54240","0701","25/07/2001 12:00:00 AM"
"54240","0703","8/08/2003 12:00:00 AM"
"54257","0105","7/03/2005 12:00:00 AM"
"54257","0701","24/07/2001 12:00:00 AM"
"54257","0903","30/09/2003 12:00:00 AM"
"54257","57611","15/11/2012 12:00:00 AM"
"54354","0204","29/11/2004 12:00:00 AM"
"54354","0402","18/04/2002 12:00:00 AM"
"54354","0406","29/09/2006 12:00:00 AM"
"54354","59475","23/12/2013 12:00:00 AM"
"54357","0204","26/11/2004 12:00:00 AM"
"54357","0402","18/04/2002 12:00:00 AM"
"54357","0406","28/09/2006 12:00:00 AM"
"54357","59478","23/12/2013 12:00:00 AM"
"54371","0801","7/08/2001 12:00:00 AM"
"54372","0801","7/08/2001 12:00:00 AM"
"51663","0299","17/02/1999 12:00:00 AM"
"51713","0109","27/05/2009 12:00:00 AM"
"51713","0306","1/06/2006 12:00:00 AM"
"51713","0400","28/04/2000 12:00:00 AM"
"51713","0500","29/06/2000 12:00:00 AM"
"51713","0503","3/06/2003 12:00:00 AM"
"51832","0502","28/05/2002 12:00:00 AM"
"51832","0704","18/08/2004 12:00:00 AM"
"51832","0706","21/08/2006 12:00:00 AM"
"51832","51063","7/04/2011 12:00:00 AM"
"48918","01","13/11/1996 12:00:00 AM"
"49497","01","21/02/1997 12:00:00 AM"
"46128","02","11/09/1996 12:00:00 AM"
"46128","0399","3/03/1999 12:00:00 AM"
"46128","0502","23/05/2002 12:00:00 AM"
"46128","0599","19/05/1999 12:00:00 AM"
"46128","0997","16/09/1997 12:00:00 AM"
"46128","0999","7/09/1999 12:00:00 AM"
"46128","1197","7/11/1997 12:00:00 AM"
"46128","1200","5/01/2001 12:00:00 AM"
"46128","1299","10/12/1999 12:00:00 AM"
"46128","18604","26/11/1999 12:00:00 AM"
"46128","51784","29/09/2011 12:00:00 AM"
"48518","58484","18/04/2013 12:00:00 AM"
"54543","0203","13/02/2003 12:00:00 AM"
"54543","0702","18/07/2002 12:00:00 AM"
"54543","0801","28/08/2001 12:00:00 AM"
"54761","0802","9/09/2002 12:00:00 AM"
"54761","0904","6/12/2004 12:00:00 AM"
"55222","0207","16/03/2007 12:00:00 AM"
"55222","0306","31/03/2006 12:00:00 AM"
"55222","0806","27/11/2006 12:00:00 AM"
"55222","1004","6/01/2005 12:00:00 AM"
"55222","1201","21/01/2002 12:00:00 AM"
"55222","54296","27/01/2012 12:00:00 AM"
"55354","0202","7/03/2002 12:00:00 AM"
"52339","1199","24/11/1999 12:00:00 AM"
"49111","36250","9/09/2011 12:00:00 AM"
"49122","0202","12/02/2002 12:00:00 AM"
"49122","0205","3/03/2005 12:00:00 AM"
"49122","0898","20/08/1998 12:00:00 AM"
"49122","1102","25/11/2002 12:00:00 AM"
"49122","1200","29/01/2001 12:00:00 AM"
"49122","55353","13/09/2012 12:00:00 AM"
"49640","01","30/01/1997 12:00:00 AM"
"49665","0399","3/03/1999 12:00:00 AM"
"49665","0507","26/09/2007 12:00:00 AM"
"49665","0605","15/07/2005 12:00:00 AM"
"49665","1105","13/03/2006 12:00:00 AM"
"48836","01","23/01/1997 12:00:00 AM"
