"pestcode","pestdesc"
"ANFU4  ","ANTISEPTIC-FUNGICIDAL"
"BALAM  ","BALAUSTIUM MITE"
"BMST1  ","STREPTOCOCCUS SUIS TYPE 2"
"BTH    ","THERMODURIC BACTERIA"
"CTB    ","CANE TOAD"
"FAFW   ","CITRUS WAX"
"FAG1   ","REFER TO GLYPHOSATE 360 G/L LABEL"
"FAGE1  ","GRAPEVINE DIEBACK FUNGUS"
"FAGPS  ","PINUS SPP. - REGENERATION"
"FAOSW  ","OPTIMISE SPRAY WATER PH"
"FAPT   ","PASTURE TOPPING"
"FASS   ","SPRAY SYSTEMS MAINTENANCE"
"FDERM  ","FLEA ALLERGIC DERMATITIS"
"FG1    ","LONG-TERM PROTECTION AGAINST STAINING"
"FGAP   ","POULTRY INDUSTRY CLEANER (NOT SANITISER)"
"FGFG   ","REDUCE FOAM GENERATION"
"FGSP   ","SOFTENS WATER"
"FOMK   ","FOAM MARKER"
"FRP    ","PET"
"FVAO   ","AIRWAYS OBSTRUCTION"
"FVCC   ","REGULATION OF CARBOHYDRATE, CREATINE AND"
"FVFO   ","INDUCING OESTRUS"
"FVFP   ","DISCOURAGE FEATHER PICKING"
"FVGD   ","HOOF DISORDER"
"FVID   ","IMPROVE DIGESTIBILITY OF WHEAT"
"FVID6  ","IMPROVE DIGESTIBILITY OF WHEAT BY-PRODS"
"FVID9  ","IMPROVE DIGESTIBILITY OF HIGH FIBRE DIET"
"FVIM   ","REDUCTION OF INTESTINAL MOTILITY"
"FVMRP  ","MAINTENANCE OF REPRODUCTIVE PERFORMANCE"
"FVPI   ","INDUCTION OF PARTURITION"
"FVPN   ","PREVENT NAUSEA"
"FVRD   ","RESPIRATORY DISEASE"
"FVRT   ","DRENCH RESISTANCE TEST"
"IELB   ","EUCALYPTUS LEAF BEETLE - C. BIMACULATA"
"IGPS   ","PRUINOSE SCARAB - FIRST INSTAR LARVAE"
"ILDM   ","DETRITUS MOTH"
"ILN    ","ARMYWORM"
"ILNC   ","CUTWORM"
"ILTG   ","TOMATO CATERPILLAR"
"IMS    ","FALSE STABLE FLY"
"INPT   ","PYRGO BEETLE - PAROPSISTERNA TIGRINA"
"IPE    ","LICE EGG"
