id	command	search_clause	 not_clause	replace_clause	case sensitive	Latin_name	common_name	local_name	alt_names	note_clause	crops	doit	must_update	comments	import_id	exp_cnt	chk	dummy							
1055		row cnt		71	5						30	1051	0	Version: 27/07/2023 16:43:41			Version: 28/07/2023 08:08:40	Version: 01/08/2023 14:43:05							
0		blank id cnt			0							3	0		221008										
1	SKIP	1: do these first			0							0	0		221008										
2	SKIP	1.1: expand latin names			0							0	0		221008										
3	sp_update	C.iria		Rice flatsedge	0	Cyperus iria	Rice flatsedge	"Sud-sud,Alinang"				1	0		221008										
4	sp_update	C. iria)		Rice flatsedge	0							1	0		221008										
5	sp_update	C. iria		Rice flatsedge	0							1	0		221008										
6	sp_update	C. difformis		Rice flatsedge	0	Cyperus difformis	Rice sedge		"Variable flatsedge,Smallflower umbrella-sedge"			1	0		221008										
7	sp_update	{C. difformis }		Rice sedge	0	Cyperus difformis	Rice sedge					1	0		221008										
8	sp_update	C.difformis		Rice sedge	0							1	0		221008										
9	sp_update	C. rotondus		Purple Nutsedge	0	Cyperus rotondus	Purple Nutsedge		"Coco Grass,Java Grass,Nut Grass,Red nut sedge"			1	0		221008										
10	sp_update	D. aegyptium		Crowfoot grass	0	Dactyloctenium aegyptium	Egyptian crowfoot grass					1	0		221008										
11	sp_update	D. ciliaris		Crabgrass	0	Digitaria ciliaris	Southern crabgrass		"Tropical finger-grass,Tropical crabgrass,Summer gras"			1	0		221008										
12	sp_update	e. colona		Wild rice	0	Echinochloa colona			"Jungli rice,Wild rice,Deccan grass,Jharua,Awnless barnyard grass"			1	0		221008										
13	sp_update	e.colona		Wild rice	0	Echinochloa colona						1	0		221008										
14	sp_update	E. crus-galli		Barnyard grass	0	Echinochloa crus-galli						1	0		221008										
15	sp_update	E. crusgalli		Barnyard grass	0	Echinochloa crus-galli						1	0		221008										
16	sp_update	E.globrescens		Torch coral	0	Euphyllia glabrescens						1	0		221008										
17	sp_update	F. miliacea		{Hoorahgrass}	0	{Fimbristylis miliacea}						1	0		221008										
