id	command	search_clause	 not_clause	replace_clause	case sensitive	Latin_name	common_name	local_name	alt_names	note_clause	crops	doit	must_update	comments	import id	exp_cnt	chk	dummy
540		row cnt		462	1						0	102	0					
0		blank id cnt			537							438	0		230721			
1	sp_update	{  or wheel  for the control ofmoko disease/bacterial wilt (ralstonia solanacearum )}		moko disease	0							1	0	{  or wheel  for the control ofmoko disease/bacterial wilt (ralstonia solanacearum )}	230721			
2	sp_update	{ application of Mealy bugs)}		Mealy bugs	1							1	0	{ application of Mealy bugs)}	230721			
3	sp_update	{ for flowering}								 for flowering		1	0	{ for flowering}	230721			
4	sp_update	*corn weevil		Corn weevil								1	0	*corn weevil				
5	sp_update	: cogon%; mixed weeds: Para grass		"Cogon grass,Paragrass"								1	0	: cogon%; mixed weeds: Para grass	230721			
6	sp_update	"Anatrachyntis larvae (valid only for use by del monte fresh produce (phils),Inc.,Delmonte philippines,Inc.)"		Anatrachyntis larvae						"valid only for use by del monte fresh produce (phils),Inc.,Delmonte philippines,Inc."		1	0	"Anatrachyntis larvae (valid only for use by del monte fresh produce (phils),Inc.,Delmonte philippines,Inc.)"	230721			
7	sp_update	"Mature,Shaded conditions: cogon ; immature,: cogon ; mixed weeds: Para grass,Carabao grass"		"Cogon grass,Paragrass,Carabao grass"								1	0	"Mature,Shaded conditions: cogon ; immature,: cogon ; mixed weeds: Para grass,Carabao grass"	230721			
8	sp_update	"Surface disinfection in animal facilities (livestock housing,Abbaitors,Animal transport,Equipment,Warehouse for"		Abbaitoirs						"Surface disinfection in animal facilities (livestock housing,Abbatoirs,Animal transport,Equipment,Warehouse for"		1	0	"Surface disinfection in animal facilities (livestock housing,Abbaitors,Animal transport,Equipment,Warehouse for"	230721			
9	sp_update	Adult files		Adult flies								1	0	Adult files	230721			
10	sp_update	Alternari a leaf spot		Alternaria leaf spot								1	0	Alternari a leaf spot	230721			
11	sp_update	Anatrachyntis larvae (valid only for use by del monte fresh produce (phils)		Anatrachyntis larvae 						(valid only for use by del monte fresh produce (phils)		1	0	Anatrachyntis larvae (valid only for use by del monte fresh produce (phils)	230721			
12	sp_update	"Anatrachyntis larvae (VALID ONLY FOR USE BY Del Monte fresh produce (Phils),Inc. and Delmonte philippines,Inc.)"		Anatrachyntis larvae						"VALID ONLY FOR USE BY Del Monte fresh produce (Phils),Inc. and Delmonte philippines,Inc."		1	0	"Anatrachyntis larvae (VALID ONLY FOR USE BY Del Monte fresh produce (Phils),Inc. and Delmonte philippines,Inc.)"	230721			
13	sp_update	Anthracnose fruit rot(colletotrichum musae )		Broadleaved weeds								1	0	Anthracnose fruit rot(colletotrichum musae )	230721			
14	sp_update	Antss		Broadleaved weeds								1	0	Antss	230721			
15	sp_update	As  		"Broadleaved weeds,Grasses"								1	0	As  	230721			
16	sp_update	As a single adjuvant or in combination with the diazinon 60 ec for the control of scale insect		Scale insect						or in combination with the diazinon 60 ec		1	0	As a single adjuvant or in combination with the diazinon 60 ec for the control of scale insect	230721			
17	sp_update	As a surfactant on vagary 100 sc								surfactant		1	0	As a surfactant on vagary 100 sc	230721			
18	sp_update	As adjuvant for the control of black sigatoka								adjuvant		1	0	As adjuvant for the control of black sigatoka	230721			
19	sp_update	As adjuvant in tank combination with mancozeb 448 f for the control of sigato								adjuvant		1	0	As adjuvant in tank combination with mancozeb 448 f for the control of sigato	230721			
20	sp_update	As adjuvant in tank combination with mancozeb 448 f for thecontrol of sigato								adjuvant		1	0	As adjuvant in tank combination with mancozeb 448 f for thecontrol of sigato	230721			
21	sp_update	As disinfectaant for dairy								disinfectant		1	0	As disinfectaant for dairy	230721			
22	sp_update	As disinfectant for the control of crown rot								disinfectant		1	0	As disinfectant for the control of crown rot	230721			
23	sp_update	As fumigant for the control of stored grain pests								fumigant		1	0	As fumigant for the control of stored grain pests	230721			
24	sp_update	As plant growth regulation for the flower induction								PGR		1	0	As plant growth regulation for the flower induction	230721			
25	sp_update	As surfactant for bisig 100 sc								surfactant		1	0	As surfactant for bisig 100 sc	230721			
26	sp_update	As surfactant in dominate 100 sc								surfactant		1	0	As surfactant in dominate 100 sc	230721			
