book	Sht	Row	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
400-499	397	1	MISCHA AGRO INDUSTRIAL CORPORATION	THIOPHANATE METHYL	METHYLTON 70 WP	700 g/Kg	WP	FUNGICIDE	4	620-107-5285	20/10/2023	SYSTEMIC	Ornamentals	"Powdery mildew, black spots"
400-499	397	2	MISCHA AGRO INDUSTRIAL CORPORATION	THIOPHANATE METHYL	METHYLTON 70 WP	700 g/Kg	WP	FUNGICIDE	4	620-107-5285	20/10/2023	SYSTEMIC	Orchids	"Powdery mildew, black spots"
400-499	397	3	MISCHA AGRO INDUSTRIAL CORPORATION	THIOPHANATE METHYL	METHYLTON 70 WP	700 g/Kg	WP	FUNGICIDE	4	620-107-5285	20/10/2023	SYSTEMIC	Cabbage	"Shot hole disease, cercospora leaf spot"
400-499	397	4	MISCHA AGRO INDUSTRIAL CORPORATION	THIOPHANATE METHYL	METHYLTON 70 WP	700 g/Kg	WP	FUNGICIDE	4	620-107-5285	20/10/2023	SYSTEMIC	Cauliflower	"Shot hole disease, cercospora leaf spot"
400-499	397	5	MISCHA AGRO INDUSTRIAL CORPORATION	THIOPHANATE METHYL	METHYLTON 70 WP	700 g/Kg	WP	FUNGICIDE	4	620-107-5285	20/10/2023	SYSTEMIC	Lettuce	"Shot hole disease, cercospora leaf spot"
400-499	397	6	MISCHA AGRO INDUSTRIAL CORPORATION	THIOPHANATE METHYL	METHYLTON 70 WP	700 g/Kg	WP	FUNGICIDE	4	620-107-5285	20/10/2023	SYSTEMIC	Strawberry	Powdery mildew
400-499	397	7	MISCHA AGRO INDUSTRIAL CORPORATION	THIOPHANATE METHYL	METHYLTON 70 WP	700 g/Kg	WP	FUNGICIDE	4	620-107-5285	20/10/2023	SYSTEMIC	Grapes	"Fruit rot, Powdery mildew, anthracnose"
400-499	397	8	MISCHA AGRO INDUSTRIAL CORPORATION	THIOPHANATE METHYL	METHYLTON 70 WP	700 g/Kg	WP	FUNGICIDE	4	620-107-5285	20/10/2023	SYSTEMIC	Orange	Scabs
400-499	397	9	MISCHA AGRO INDUSTRIAL CORPORATION	THIOPHANATE METHYL	METHYLTON 70 WP	700 g/Kg	WP	FUNGICIDE	4	620-107-5285	20/10/2023	SYSTEMIC	Citrus	Scabs
400-499	397	10	MISCHA AGRO INDUSTRIAL CORPORATION	THIOPHANATE METHYL	METHYLTON 70 WP	700 g/Kg	WP	FUNGICIDE	4	620-107-5285	20/10/2023	SYSTEMIC	Calamansi	Scabs
400-499	397	11	MISCHA AGRO INDUSTRIAL CORPORATION	THIOPHANATE METHYL	METHYLTON 70 WP	700 g/Kg	WP	FUNGICIDE	4	620-107-5285	20/10/2023	SYSTEMIC	Banana	Sigatoka disease
400-499	397	12	MISCHA AGRO INDUSTRIAL CORPORATION	THIOPHANATE METHYL	METHYLTON 70 WP	700 g/Kg	WP	FUNGICIDE	4	620-107-5285	20/10/2023	SYSTEMIC	Papaya	Powdery mildew
400-499	397	13	"JEELS MASAGANA FARM SUPPLY, INC."	METHOMYL	METHOX 40 SP	400 g/kg	SP	INSECTICIDE	2	487-164-2894	11/04/2021	CONTACT	Asparagus	"Armyworm, cutworm"
400-499	397	14	"JEELS MASAGANA FARM SUPPLY, INC."	METHOMYL	METHOX 40 SP	400 g/kg	SP	INSECTICIDE	2	487-164-2894	11/04/2021	CONTACT	Banana	Thrips
400-499	397	15	"JEELS MASAGANA FARM SUPPLY, INC."	METHOMYL	METHOX 40 SP	400 g/kg	SP	INSECTICIDE	2	487-164-2894	11/04/2021	CONTACT	Beans	"Leaffolder, flea beetle , beanfly, podborer,aphids"
400-499	397	16	"JEELS MASAGANA FARM SUPPLY, INC."	METHOMYL	METHOX 40 SP	400 g/kg	SP	INSECTICIDE	2	487-164-2894	11/04/2021	CONTACT	Mungbeans	"Leaffolder, flea beetle , beanfly, podborer,aphids"
400-499	397	17	"JEELS MASAGANA FARM SUPPLY, INC."	METHOMYL	METHOX 40 SP	400 g/kg	SP	INSECTICIDE	2	487-164-2894	11/04/2021	CONTACT	Soybeans	"Leaffolder, flea beetle , beanfly, podborer,aphids"
400-499	397	18	"JEELS MASAGANA FARM SUPPLY, INC."	METHOMYL	METHOX 40 SP	400 g/kg	SP	INSECTICIDE	2	487-164-2894	11/04/2021	CONTACT	Sitao	"Leaffolder, flea beetle , beanfly, podborer,aphids"
400-499	397	19	"JEELS MASAGANA FARM SUPPLY, INC."	METHOMYL	METHOX 40 SP	400 g/kg	SP	INSECTICIDE	2	487-164-2894	11/04/2021	CONTACT	Corn	"Cornborer, earworm"
400-499	397	20	"JEELS MASAGANA FARM SUPPLY, INC."	METHOMYL	METHOX 40 SP	400 g/kg	SP	INSECTICIDE	2	487-164-2894	11/04/2021	CONTACT	Sorghum	"Cornborer,earworm"
400-499	397	21	"JEELS MASAGANA FARM SUPPLY, INC."	METHOMYL	METHOX 40 SP	400 g/kg	SP	INSECTICIDE	2	487-164-2894	11/04/2021	CONTACT	Eggplant	"Aphids, flea beetle , fruitworm, lady beetle"
400-499	397	22	"JEELS MASAGANA FARM SUPPLY, INC."	METHOMYL	METHOX 40 SP	400 g/kg	SP	INSECTICIDE	2	487-164-2894	11/04/2021	CONTACT	Melon	"Aphids, Squash beetle , leaffolder"
400-499	397	23	"JEELS MASAGANA FARM SUPPLY, INC."	METHOMYL	METHOX 40 SP	400 g/kg	SP	INSECTICIDE	2	487-164-2894	11/04/2021	CONTACT	Rice	"Green leafhopper, armyworm, caseworm, leaffolder"
400-499	397	24	"JEELS MASAGANA FARM SUPPLY, INC."	METHOMYL	METHOX 40 SP	400 g/kg	SP	INSECTICIDE	2	487-164-2894	11/04/2021	CONTACT	Tobacco	"Budworm, cutworm, aphids, hornworm"
400-499	397	25	"JEELS MASAGANA FARM SUPPLY, INC."	METHOMYL	METHOX 40 SP	400 g/kg	SP	INSECTICIDE	2	487-164-2894	11/04/2021	CONTACT	Tomato	"Tomato fruitworm, aphids"
400-499	397	26	NEXCHEM CORPORATION	METHOMYL	METHONEX 40 SP	400 g/Kg	SP	INSECTICIDE	2	702-164-5623	07/04/2022		Asparagus	
400-499	397	27	NEXCHEM CORPORATION	METHOMYL	METHONEX 40 SP	400 g/Kg	SP	INSECTICIDE	2	702-164-5623	07/04/2022		Banana	
400-499	397	28	NEXCHEM CORPORATION	METHOMYL	METHONEX 40 SP	400 g/Kg	SP	INSECTICIDE	2	702-164-5623	07/04/2022		Beans	
400-499	398	0	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
400-499	398	1	NEXCHEM CORPORATION	METHOMYL	METHONEX 40 SP	400 g/Kg	SP	INSECTICIDE	2	702-164-5623	07/04/2022		Mungbeans	
400-499	398	2	NEXCHEM CORPORATION	METHOMYL	METHONEX 40 SP	400 g/Kg	SP	INSECTICIDE	2	702-164-5623	07/04/2022		Soybeans	
400-499	398	3	NEXCHEM CORPORATION	METHOMYL	METHONEX 40 SP	400 g/Kg	SP	INSECTICIDE	2	702-164-5623	07/04/2022		Sitao	
400-499	398	4	NEXCHEM CORPORATION	METHOMYL	METHONEX 40 SP	400 g/Kg	SP	INSECTICIDE	2	702-164-5623	07/04/2022		Corn	
