Book	Sht	Row	NAME OF COMPANY	ACTIVE INGREDIENT	PRODUCT NAME	CONCENTRATION	FORMULATION TYPE	USE/S	TOXICITY CATEGORY	REGISTRATION NO.	EXPIRY DATE	MODE OF ENTRY	CROPS	PESTS / WEEDS / DISEASES
800-899	793	1	"BIOAGRO AGRICULTURAL PRODUCTS, INC."	BENOMYL	BEN-ON-TIME	500 g/Kg	WP	FUNGICIDE	4	608-167-4303	26/03/2024	SYSTEMIC	Pepper	Cercospora leaf spot
800-899	793	2	"BIOAGRO AGRICULTURAL PRODUCTS, INC."	BENOMYL	BEN-ON-TIME	500 g/Kg	WP	FUNGICIDE	4	608-167-4303	26/03/2024	SYSTEMIC	Rice	"Blast, sheath blight"
800-899	793	3	"BIOAGRO AGRICULTURAL PRODUCTS, INC."	BENOMYL	BEN-ON-TIME	500 g/Kg	WP	FUNGICIDE	4	608-167-4303	26/03/2024	SYSTEMIC	Strawberry	Cercospora leaf spot
800-899	793	4	"BIOAGRO AGRICULTURAL PRODUCTS, INC."	BENOMYL	BEN-ON-TIME	500 g/Kg	WP	FUNGICIDE	4	608-167-4303	26/03/2024	SYSTEMIC	Tobacco	"Leaf mold, frog eye"
800-899	793	5	"BIOAGRO AGRICULTURAL PRODUCTS, INC."	BENOMYL	BEN-ON-TIME	500 g/Kg	WP	FUNGICIDE	4	608-167-4303	26/03/2024	SYSTEMIC	Banana	Black sigatoka
800-899	793	6	NEXCHEM CORPORATION	BENOMYL	BENOMEX 50 WP	500 g/Kg	WP	FUNGICIDE	4	702-167-5617	09/08/2024	SYSTEMIC	Beans	"Powdery mildew, cercospora leaf spot"
800-899	793	7	NEXCHEM CORPORATION	BENOMYL	BENOMEX 50 WP	500 g/Kg	WP	FUNGICIDE	4	702-167-5617	09/08/2024	SYSTEMIC	Mungbeans	"Powdery mildew, cercospora leaf spot"
800-899	793	8	NEXCHEM CORPORATION	BENOMYL	BENOMEX 50 WP	500 g/Kg	WP	FUNGICIDE	4	702-167-5617	09/08/2024	SYSTEMIC	Cabbage/Wongbook	Cercospora leaf spot
800-899	793	9	NEXCHEM CORPORATION	BENOMYL	BENOMEX 50 WP	500 g/Kg	WP	FUNGICIDE	4	702-167-5617	09/08/2024	SYSTEMIC	Calamansi	Scab
800-899	793	10	NEXCHEM CORPORATION	BENOMYL	BENOMEX 50 WP	500 g/Kg	WP	FUNGICIDE	4	702-167-5617	09/08/2024	SYSTEMIC	Cucumber	Powdery mildew
800-899	793	11	NEXCHEM CORPORATION	BENOMYL	BENOMEX 50 WP	500 g/Kg	WP	FUNGICIDE	4	702-167-5617	09/08/2024	SYSTEMIC	Ginger	Cercospora leaf spot
800-899	793	12	NEXCHEM CORPORATION	BENOMYL	BENOMEX 50 WP	500 g/Kg	WP	FUNGICIDE	4	702-167-5617	09/08/2024	SYSTEMIC	Grapes	Powdery mildew
800-899	793	13	NEXCHEM CORPORATION	BENOMYL	BENOMEX 50 WP	500 g/Kg	WP	FUNGICIDE	4	702-167-5617	09/08/2024	SYSTEMIC	Mandarin	Scab
800-899	793	14	NEXCHEM CORPORATION	BENOMYL	BENOMEX 50 WP	500 g/Kg	WP	FUNGICIDE	4	702-167-5617	09/08/2024	SYSTEMIC	Mango	"Anthracnose, powdery mildew"
800-899	793	15	NEXCHEM CORPORATION	BENOMYL	BENOMEX 50 WP	500 g/Kg	WP	FUNGICIDE	4	702-167-5617	09/08/2024	SYSTEMIC	Melon	Powdery mildew
800-899	793	16	NEXCHEM CORPORATION	BENOMYL	BENOMEX 50 WP	500 g/Kg	WP	FUNGICIDE	4	702-167-5617	09/08/2024	SYSTEMIC	Orange	Scab
800-899	793	17	NEXCHEM CORPORATION	BENOMYL	BENOMEX 50 WP	500 g/Kg	WP	FUNGICIDE	4	702-167-5617	09/08/2024	SYSTEMIC	Papaya	Powdery mildew
800-899	793	18	NEXCHEM CORPORATION	BENOMYL	BENOMEX 50 WP	500 g/Kg	WP	FUNGICIDE	4	702-167-5617	09/08/2024	SYSTEMIC	Pepper	Cercospora leaf spot
